"","LHS","RHS","support","confidence","lift","count"
"69","{AGE=[20,34),HISTOLOGY=1}","{CLASS=2}",0.225,1,1.19402985074627,18
"139","{ALBUMIN=[3.8,4.1),HISTOLOGY=1}","{ASCITES=2}",0.225,1,1.17647058823529,18
"141","{ALBUMIN=[3.8,4.1),HISTOLOGY=1}","{VARICES=2}",0.225,1,1.14285714285714,18
"146","{MALAISE=2,ALBUMIN=[3.8,4.1)}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"147","{MALAISE=2,ALBUMIN=[3.8,4.1)}","{ANOREXIA=2}",0.2125,1,1.17647058823529,17
"148","{MALAISE=2,ALBUMIN=[3.8,4.1)}","{VARICES=2}",0.2125,1,1.14285714285714,17
"154","{SPIDERS=2,ALBUMIN=[3.8,4.1)}","{ASCITES=2}",0.2375,1,1.17647058823529,19
"163","{ANTIVIRALS=2,ALBUMIN=[3.8,4.1)}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"223","{BILIRUBIN=[0.3,0.8),HISTOLOGY=1}","{CLASS=2}",0.2125,1,1.19402985074627,17
"224","{BILIRUBIN=[0.3,0.8),HISTOLOGY=1}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"225","{BILIRUBIN=[0.3,0.8),HISTOLOGY=1}","{VARICES=2}",0.2125,1,1.14285714285714,17
"230","{MALAISE=2,BILIRUBIN=[0.3,0.8)}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"233","{MALAISE=2,BILIRUBIN=[0.3,0.8)}","{VARICES=2}",0.2125,1,1.14285714285714,17
"286","{SGOT=[14,44),HISTOLOGY=1}","{CLASS=2}",0.2125,1,1.19402985074627,17
"287","{SGOT=[14,44),HISTOLOGY=1}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"288","{SGOT=[14,44),HISTOLOGY=1}","{ANOREXIA=2}",0.2125,1,1.17647058823529,17
"289","{SGOT=[14,44),HISTOLOGY=1}","{VARICES=2}",0.2125,1,1.14285714285714,17
"418","{SPLEEN_PALPABLE=2,PROTIME=[0,52)}","{LIVER_BIG=2}",0.2125,1,1.19402985074627,17
"430","{BILIRUBIN=[0.8,1.2),HISTOLOGY=1}","{CLASS=2}",0.2125,1,1.19402985074627,17
"431","{BILIRUBIN=[0.8,1.2),HISTOLOGY=1}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"432","{BILIRUBIN=[0.8,1.2),HISTOLOGY=1}","{ANOREXIA=2}",0.2125,1,1.17647058823529,17
"434","{BILIRUBIN=[0.8,1.2),HISTOLOGY=1}","{VARICES=2}",0.2125,1,1.14285714285714,17
"435","{MALAISE=2,BILIRUBIN=[0.8,1.2)}","{CLASS=2}",0.225,1,1.19402985074627,18
"436","{MALAISE=2,BILIRUBIN=[0.8,1.2)}","{ASCITES=2}",0.225,1,1.17647058823529,18
"437","{MALAISE=2,BILIRUBIN=[0.8,1.2)}","{ANOREXIA=2}",0.225,1,1.17647058823529,18
"439","{MALAISE=2,BILIRUBIN=[0.8,1.2)}","{VARICES=2}",0.225,1,1.14285714285714,18
"441","{SPIDERS=2,BILIRUBIN=[0.8,1.2)}","{CLASS=2}",0.2375,1,1.19402985074627,19
"443","{SPIDERS=2,BILIRUBIN=[0.8,1.2)}","{ASCITES=2}",0.2375,1,1.17647058823529,19
"444","{SPIDERS=2,BILIRUBIN=[0.8,1.2)}","{ANOREXIA=2}",0.2375,1,1.17647058823529,19
"446","{SPIDERS=2,BILIRUBIN=[0.8,1.2)}","{VARICES=2}",0.2375,1,1.14285714285714,19
"495","{PROTIME=[52,73.7),HISTOLOGY=1}","{SPLEEN_PALPABLE=2}",0.2125,1,1.23076923076923,17
"496","{PROTIME=[52,73.7),HISTOLOGY=1}","{CLASS=2}",0.2125,1,1.19402985074627,17
"497","{PROTIME=[52,73.7),HISTOLOGY=1}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"498","{PROTIME=[52,73.7),HISTOLOGY=1}","{ANOREXIA=2}",0.2125,1,1.17647058823529,17
"499","{PROTIME=[52,73.7),HISTOLOGY=1}","{VARICES=2}",0.2125,1,1.14285714285714,17
"512","{SPIDERS=2,PROTIME=[52,73.7)}","{CLASS=2}",0.25,1,1.19402985074627,20
"520","{ANTIVIRALS=2,PROTIME=[52,73.7)}","{ANOREXIA=2}",0.2125,1,1.17647058823529,17
"613","{ALK_PHOSPHATE=[26,75.3),ALBUMIN=[4.1,5]}","{SPLEEN_PALPABLE=2}",0.2125,1,1.23076923076923,17
"614","{ALK_PHOSPHATE=[26,75.3),ALBUMIN=[4.1,5]}","{CLASS=2}",0.2125,1,1.19402985074627,17
"615","{ALK_PHOSPHATE=[26,75.3),ALBUMIN=[4.1,5]}","{ASCITES=2}",0.2125,1,1.17647058823529,17
"616","{ALK_PHOSPHATE=[26,75.3),ALBUMIN=[4.1,5]}","{VARICES=2}",0.2125,1,1.14285714285714,17
"618","{LIVER_FIRM=2,ALK_PHOSPHATE=[26,75.3)}","{SPLEEN_PALPABLE=2}",0.225,1,1.23076923076923,18
"620","{LIVER_FIRM=2,ALK_PHOSPHATE=[26,75.3)}","{LIVER_BIG=2}",0.225,1,1.19402985074627,18
"624","{LIVER_FIRM=2,ALK_PHOSPHATE=[26,75.3)}","{VARICES=2}",0.225,1,1.14285714285714,18
"629","{ALK_PHOSPHATE=[26,75.3),HISTOLOGY=1}","{SPLEEN_PALPABLE=2}",0.2625,1,1.23076923076923,21
"639","{ALK_PHOSPHATE=[26,75.3),HISTOLOGY=1}","{VARICES=2}",0.2625,1,1.14285714285714,21
"641","{MALAISE=2,ALK_PHOSPHATE=[26,75.3)}","{SPLEEN_PALPABLE=2}",0.25,1,1.23076923076923,20
"650","{MALAISE=2,ALK_PHOSPHATE=[26,75.3)}","{VARICES=2}",0.25,1,1.14285714285714,20
"651","{FATIGUE=1,ALK_PHOSPHATE=[26,75.3)}","{SPLEEN_PALPABLE=2}",0.2125,1,1.23076923076923,17
"652","{FATIGUE=1,ALK_PHOSPHATE=[26,75.3)}","{VARICES=2}",0.2125,1,1.14285714285714,17
"667","{ANTIVIRALS=2,ALK_PHOSPHATE=[26,75.3)}","{SPLEEN_PALPABLE=2}",0.2125,1,1.23076923076923,17
"670","{ANTIVIRALS=2,ALK_PHOSPHATE=[26,75.3)}","{VARICES=2}",0.2125,1,1.14285714285714,17
"713","{LIVER_FIRM=2,SGOT=[44,80.7)}","{LIVER_BIG=2}",0.2125,1,1.19402985074627,17
"773","{PROTIME=[73.7,100],HISTOLOGY=1}","{CLASS=2}",0.25,1,1.19402985074627,20
"775","{PROTIME=[73.7,100],HISTOLOGY=1}","{ASCITES=2}",0.25,1,1.17647058823529,20
"778","{PROTIME=[73.7,100],HISTOLOGY=1}","{VARICES=2}",0.25,1,1.14285714285714,20
"779","{MALAISE=2,PROTIME=[73.7,100]}","{SPIDERS=2}",0.225,1,1.45454545454545,18
"783","{MALAISE=2,PROTIME=[73.7,100]}","{ASCITES=2}",0.225,1,1.17647058823529,18
"787","{MALAISE=2,PROTIME=[73.7,100]}","{VARICES=2}",0.225,1,1.14285714285714,18
"809","{ANTIVIRALS=2,PROTIME=[73.7,100]}","{VARICES=2}",0.25,1,1.14285714285714,20
"865","{AGE=[44.7,72],SPLEEN_PALPABLE=2}","{ANOREXIA=2}",0.2375,1,1.17647058823529,19
"884","{AGE=[44.7,72],VARICES=2}","{ANOREXIA=2}",0.25,1,1.17647058823529,20
"918","{FATIGUE=2,LIVER_FIRM=2}","{MALAISE=2}",0.2375,1,1.63265306122449,19
"922","{FATIGUE=2,LIVER_FIRM=2}","{LIVER_BIG=2}",0.2375,1,1.19402985074627,19
"923","{FATIGUE=2,LIVER_FIRM=2}","{ASCITES=2}",0.2375,1,1.17647058823529,19
"924","{FATIGUE=2,LIVER_FIRM=2}","{ANOREXIA=2}",0.2375,1,1.17647058823529,19
"927","{FATIGUE=2,HISTOLOGY=1}","{MALAISE=2}",0.2375,1,1.63265306122449,19
"928","{FATIGUE=2,HISTOLOGY=1}","{SPIDERS=2}",0.2375,1,1.45454545454545,19
"930","{FATIGUE=2,HISTOLOGY=1}","{CLASS=2}",0.2375,1,1.19402985074627,19
"932","{FATIGUE=2,HISTOLOGY=1}","{ASCITES=2}",0.2375,1,1.17647058823529,19
"933","{FATIGUE=2,HISTOLOGY=1}","{ANOREXIA=2}",0.2375,1,1.17647058823529,19
"935","{FATIGUE=2,HISTOLOGY=1}","{VARICES=2}",0.2375,1,1.14285714285714,19
"938","{ANTIVIRALS=2,FATIGUE=2}","{MALAISE=2}",0.25,1,1.63265306122449,20
"971","{ANTIVIRALS=2,FATIGUE=2}","{ASCITES=2}",0.25,1,1.17647058823529,20
"972","{ANTIVIRALS=2,FATIGUE=2}","{ANOREXIA=2}",0.25,1,1.17647058823529,20
"1028","{AGE=[34,44.7),HISTOLOGY=1}","{VARICES=2}",0.2625,1,1.14285714285714,21
"1131","{STEROID=1,MALAISE=1}","{FATIGUE=1}",0.225,1,1.53846153846154,18
"1133","{STEROID=1,MALAISE=1}","{SEX=1}",0.225,1,1.15942028985507,18
"1137","{ANTIVIRALS=2,MALAISE=1}","{FATIGUE=1}",0.2875,1,1.53846153846154,23
"1143","{MALAISE=1,ASCITES=2}","{FATIGUE=1}",0.275,1,1.53846153846154,22
"1144","{MALAISE=1,ANOREXIA=2}","{FATIGUE=1}",0.2375,1,1.53846153846154,19
"1184","{LIVER_FIRM=2,ALBUMIN=[4.1,5]}","{ASCITES=2}",0.275,1,1.17647058823529,22
"1190","{ALBUMIN=[4.1,5],HISTOLOGY=1}","{CLASS=2}",0.275,1,1.19402985074627,22
"1191","{ALBUMIN=[4.1,5],HISTOLOGY=1}","{ASCITES=2}",0.275,1,1.17647058823529,22
"1194","{ALBUMIN=[4.1,5],HISTOLOGY=1}","{VARICES=2}",0.275,1,1.14285714285714,22
"1205","{FATIGUE=1,ALBUMIN=[4.1,5]}","{CLASS=2}",0.2375,1,1.19402985074627,19
"1246","{LIVER_BIG=2,ALBUMIN=[4.1,5]}","{ASCITES=2}",0.2875,1,1.17647058823529,23
"1265","{MALAISE=2,HISTOLOGY=2}","{ANOREXIA=2}",0.2125,1,1.17647058823529,17
"1298","{STEROID=1,LIVER_FIRM=2}","{LIVER_BIG=2}",0.225,1,1.19402985074627,18
"1308","{STEROID=1,HISTOLOGY=1}","{VARICES=2}",0.25,1,1.14285714285714,20
"1312","{STEROID=1,MALAISE=2}","{ASCITES=2}",0.25,1,1.17647058823529,20
"1313","{STEROID=1,MALAISE=2}","{ANOREXIA=2}",0.25,1,1.17647058823529,20
"1327","{STEROID=1,SPIDERS=2}","{VARICES=2}",0.3375,1,1.14285714285714,27
"1367","{LIVER_FIRM=1,HISTOLOGY=1}","{ASCITES=2}",0.2375,1,1.17647058823529,19
"1369","{LIVER_FIRM=1,HISTOLOGY=1}","{VARICES=2}",0.2375,1,1.14285714285714,19
"1372","{MALAISE=2,LIVER_FIRM=1}","{ANOREXIA=2}",0.275,1,1.17647058823529,22
"1409","{STEROID=2,LIVER_FIRM=2}","{LIVER_BIG=2}",0.3,1,1.19402985074627,24
"1415","{STEROID=2,HISTOLOGY=1}","{CLASS=2}",0.3375,1,1.19402985074627,27
"1417","{STEROID=2,HISTOLOGY=1}","{ASCITES=2}",0.3375,1,1.17647058823529,27
"1487","{LIVER_FIRM=2,HISTOLOGY=1}","{CLASS=2}",0.35,1,1.19402985074627,28
"1488","{LIVER_FIRM=2,HISTOLOGY=1}","{LIVER_BIG=2}",0.35,1,1.19402985074627,28
"1497","{MALAISE=2,LIVER_FIRM=2}","{LIVER_BIG=2}",0.3375,1,1.19402985074627,27
"1499","{MALAISE=2,LIVER_FIRM=2}","{ANOREXIA=2}",0.3375,1,1.17647058823529,27
"1503","{FATIGUE=1,LIVER_FIRM=2}","{LIVER_BIG=2}",0.2875,1,1.19402985074627,23
"1510","{LIVER_FIRM=2,SPIDERS=2}","{LIVER_BIG=2}",0.4125,1,1.19402985074627,33
"1520","{ANTIVIRALS=2,LIVER_FIRM=2}","{LIVER_BIG=2}",0.4,1,1.19402985074627,32
"1570","{MALAISE=2,HISTOLOGY=1}","{CLASS=2}",0.4,1,1.19402985074627,32
"1572","{MALAISE=2,HISTOLOGY=1}","{ASCITES=2}",0.4,1,1.17647058823529,32
"1576","{MALAISE=2,HISTOLOGY=1}","{VARICES=2}",0.4,1,1.14285714285714,32
"1599","{ANTIVIRALS=2,HISTOLOGY=1}","{CLASS=2}",0.3875,1,1.19402985074627,31
"1650","{FATIGUE=1,MALAISE=2}","{ANOREXIA=2}",0.2625,1,1.17647058823529,21
"1661","{MALAISE=2,SPIDERS=2}","{ANOREXIA=2}",0.4875,1,1.17647058823529,39
"1669","{ANTIVIRALS=2,MALAISE=2}","{ANOREXIA=2}",0.45,1,1.17647058823529,36
